[2026-06-01T23:08:40] final audit runner start
[2026-06-02T00:22:18] done greedy_corr_0.7_n10_icir_beta success=True valid=10/10 sharpe=5.716
[2026-06-02T00:22:18] run greedy_corr_0.7_n10_icir_market_cap_beta n=10 method=icir neutralize=market_cap_beta
[2026-06-02T00:23:31] done greedy_corr_0.7_n10_icir_market_cap_beta success=True valid=10/10 sharpe=6.075
[2026-06-02T00:23:31] run greedy_corr_0.7_n10_ridge_none n=10 method=ridge neutralize=none
[2026-06-02T00:24:24] done greedy_corr_0.7_n10_ridge_none success=True valid=10/10 sharpe=6.622
[2026-06-02T00:24:24] run greedy_corr_0.7_n10_ridge_market_cap n=10 method=ridge neutralize=market_cap
[2026-06-02T00:25:17] done greedy_corr_0.7_n10_ridge_market_cap success=True valid=10/10 sharpe=6.518
[2026-06-02T00:25:17] run greedy_corr_0.7_n10_ridge_market_cap_regression n=10 method=ridge neutralize=market_cap_regression
[2026-06-02T00:26:10] done greedy_corr_0.7_n10_ridge_market_cap_regression success=True valid=10/10 sharpe=6.741
[2026-06-02T00:26:10] run greedy_corr_0.7_n10_ridge_beta n=10 method=ridge neutralize=beta
[2026-06-02T00:27:03] done greedy_corr_0.7_n10_ridge_beta success=True valid=10/10 sharpe=7.065
[2026-06-02T00:27:03] run greedy_corr_0.7_n10_ridge_market_cap_beta n=10 method=ridge neutralize=market_cap_beta
[2026-06-02T00:27:57] done greedy_corr_0.7_n10_ridge_market_cap_beta success=True valid=10/10 sharpe=7.259
[2026-06-02T00:27:57] run nest_l1_reversal_equal_market_cap n=5 method=equal neutralize=market_cap
[2026-06-02T00:28:08] done nest_l1_reversal_equal_market_cap success=True valid=5/5 sharpe=3.328
[2026-06-02T00:28:08] run nest_l1_reversal_icir_market_cap n=5 method=icir neutralize=market_cap
[2026-06-02T00:28:32] done nest_l1_reversal_icir_market_cap success=True valid=5/5 sharpe=3.098
[2026-06-02T00:28:32] run nest_l1_reversal_ridge_market_cap n=5 method=ridge neutralize=market_cap
